Pearson_L3I,Pearson_L3S,Pearson_L4I,Pearson_L4S,LogPearson_L3I,LogPearson_L3S,LogPearson_L4I,LogPearson_L4S,LogNormal_L3I,LogNormal_L3S,LogNormal_L4I,LogNormal_L4S,Kappa_L3I,Kappa_L3S,Kappa_L4I,Kappa_L4S,GeneralizedPareto_L3I,GeneralizedPareto_L3S,GeneralizedPareto_L4I,GeneralizedPareto_L4S,GeneralizedLogistic_L3I,GeneralizedLogistic_L3S,GeneralizedLogistic_L4I,GeneralizedLogistic_L4S,GeneralizedGamma_L3I,GeneralizedGamma_L3S,GeneralizedGamma_L4I,GeneralizedGamma_L4S,GEV_L3I,GEV_L3S,GEV_L4I,GEV_L4S,EV1_L3I,EV1_L3S,EV1_L4I,EV1_L4S
-0.39,,0.188451338,,,0.289398294,,0.198246976,-0.39,,0.243146508,,-0.380089449,0.939,-0.040062257,0.901434167,-0.39,,0.080368764,,-0.39,,0.293416667,,0.852459142,0.91969036,0.670898635,0.875308889,-0.39,,0.197396828,,,,,
-0.38,,0.184217511,,,0.29967433,,0.203767634,-0.38,,0.236955125,,-0.370108715,0.938,-0.048454922,0.89987,-0.38,,0.074025974,,-0.38,,0.287,,0.873027272,0.939974149,0.713015549,0.905787432,-0.38,,0.191598436,,,,,
-0.37,,0.180177244,,,0.309967852,,0.209126374,-0.37,,0.23093344,,-0.360117133,0.937,-0.057758653,0.8983075,-0.37,,0.067926566,,-0.37,,0.28075,,0.892105453,0.959918812,0.751888795,0.936194454,-0.37,,0.185992883,,,,,
-0.36,,0.17632507,,,0.319975232,,0.214799695,-0.36,,0.225080929,,-0.350019815,0.936,-0.066886315,0.896746667,-0.36,,0.062068966,,-0.36,,0.274666667,,0.91306805,0.979946938,0.796890233,0.967549904,-0.36,,0.180579125,,,,,
-0.35,,0.172655529,,,0.329978057,,0.220997964,-0.35,,0.219397064,,-0.340133856,0.935,-0.07448058,0.8951875,-0.35,,0.056451613,,-0.35,,0.26875,,0.933068488,1,0.841253575,1,-0.35,,0.175356155,,,,,
-0.34,,0.169163179,,,0.339968441,,0.227013291,-0.34,,0.213881315,,-0.330076752,0.934,-0.083084124,0.89363,-0.34,,0.051072961,,-0.34,,0.263,,0.952025611,1,0.884601312,1,-0.34,,0.170323005,,,,,
-0.33,,0.165842603,,,0.349979537,,0.233186799,-0.33,,0.208533152,,-0.320098323,0.933,-0.091370536,0.892074167,-0.33,,0.045931478,,-0.33,,0.257416667,,0.972650107,,0.933883017,,-0.33,,0.165478742,,,,,
-0.32,,0.162688416,,,0.35998709,,0.239632852,-0.32,,0.203352041,,-0.310078082,0.932,-0.098339018,0.89052,-0.32,,0.041025641,,-0.32,,0.252,,1,,1,,-0.32,,0.160822466,,,,,
-0.31,,0.159695278,,,0.369973694,,0.246213637,-0.31,,0.198337447,,-0.30013513,0.931,-0.106112135,0.8889675,-0.31,,0.036353945,,-0.31,,0.24675,,,,,,-0.31,,0.156353312,,,,,
-0.3,,0.156857902,,,0.379950241,,0.252879084,-0.3,,0.193488837,,-0.290143556,0.93,-0.113660426,0.887416667,-0.3,,0.031914894,,-0.3,,0.241666667,,,,,,-0.3,,0.152070444,,,,,
-0.29,,0.15417106,,,0.38997434,,0.25985546,-0.29,,0.188805673,,-0.280063088,0.929,-0.119936314,0.8858675,-0.29,,0.027707006,,-0.29,,0.23675,,,,,,-0.29,,0.147973057,,,,,
-0.28,,0.151629596,,,0.399900826,,0.266900081,-0.28,,0.184287423,,-0.270091763,0.928,-0.126979779,0.88432,-0.28,,0.023728814,,-0.28,,0.232,,,,,,-0.28,,0.144060377,,,,,
-0.27,,0.149228432,,,0.409900237,,0.274145165,-0.27,,0.179933553,,-0.260095515,0.927,-0.133780524,0.882774167,-0.27,,0.019978858,,-0.27,,0.227416667,,,,,,-0.27,,0.140331653,,,,,
